Shipment ID,Booking Date,Departure Date,Arrival Date,Origin Port,Destination Port,Origin Country,Destination Country,Company Name,Carrier Name,Vessel Name,Vessel Type,TEU,Freight Revenue (USD),Freight Cost (USD),Profit Margin (%),Delay (Days),Is Transshipment,Handling Port,Port Handling Cost (USD),Container Type,Container Count
NSHP0001,2025-04-01,2025-04-02,2025-04-16,SAV,KIX,USA,Japan,LogiWorld,Evergreen,Ever Hope,Barge,71,20824.43,13976.42,32.88,5,No,,0,20’GP,10
NSHP0002,2025-05-01,2025-05-05,2025-05-20,LIS,MNL,Portugal,Philippines,Neptune Freight,Evergreen,Atlas Pioneer,Barge,37,8493.43,7295.09,14.11,-1,No,,0,40’HC,36
NSHP0003,2025-06-10,2025-06-14,2025-06-30,SAV,SYD,USA,Australia,AnchorTrade,Evergreen,Yang Ming Glory,Barge,76,14328.82,10235.77,28.57,4,Yes,LIS,3033.93,40’RF,23
NSHP0004,2025-06-26,2025-06-30,2025-07-15,DUR,DOH,South Africa,Qatar,Atlas Maritime,Evergreen,Yang Ming Glory,Barge,79,17776.94,12660.74,28.78,4,Yes,DUR,7487.7,20’GP,59
NSHP0005,2025-04-04,2025-04-06,2025-04-24,DUR,SYD,South Africa,Australia,Neptune Freight,ZIM,Ever Hope,Barge,49,12481.11,10384.09,16.8,2,Yes,SYD,7247.75,40’HC,30
NSHP0006,2025-06-01,2025-06-04,2025-06-23,DUR,LIS,South Africa,Portugal,Neptune Freight,NYK Line,Neptune Star,Feeder,33,8541.56,5921.81,30.67,4,No,,0,40’RF,27
NSHP0007,2025-06-08,2025-06-09,2025-06-22,TOK,KIX,Japan,Japan,OceanXpress,ZIM,Atlas Pioneer,Barge,15,3396.64,2687.6,20.87,-1,Yes,DUR,8829.7,40’HC,11
NSHP0008,2025-06-28,2025-07-01,2025-07-11,IST,BCN,Turkey,Spain,LogiWorld,NYK Line,ZIM Horizon,Feeder,105,32746.27,24264.56,25.9,3,Yes,DUR,4179.77,20’GP,18
NSHP0009,2025-04-22,2025-04-24,2025-05-09,DOH,DUR,Qatar,South Africa,Neptune Freight,COSCO,ZIM Horizon,Barge,108,29850.1,20276.88,32.07,3,Yes,SAV,5185.94,40’RF,10
NSHP0010,2025-05-05,2025-05-08,2025-05-25,SYD,BCN,Australia,Spain,Neptune Freight,Evergreen,ZIM Horizon,Mother Vessel,45,10284.9,7441.02,27.65,0,Yes,DUR,5802.26,40’HC,21
NSHP0011,2025-04-13,2025-04-17,2025-05-03,BCN,TOK,Spain,Japan,LogiWorld,Evergreen,Yang Ming Glory,Barge,36,10938.14,8350.27,23.66,-1,No,,0,40’HC,42
NSHP0012,2025-05-03,2025-05-04,2025-05-14,SYD,IST,Australia,Turkey,Neptune Freight,Evergreen,Atlas Pioneer,Feeder,55,11910.68,8028.83,32.59,0,No,,0,20’GP,32
NSHP0013,2025-06-01,2025-06-05,2025-06-23,DUR,DOH,South Africa,Qatar,AnchorTrade,COSCO,ZIM Horizon,Barge,92,28020.02,19225.49,31.39,2,Yes,DUR,3102.17,20’GP,34
NSHP0014,2025-04-04,2025-04-05,2025-04-21,KIX,DUR,Japan,South Africa,OceanXpress,Yang Ming,Atlas Pioneer,Mother Vessel,85,25294.27,17334.81,31.47,4,No,,0,20’GP,35
NSHP0015,2025-04-07,2025-04-09,2025-04-28,SYD,BCN,Australia,Spain,Atlas Maritime,Evergreen,Atlas Pioneer,Mother Vessel,25,6157.5,4165.96,32.34,3,No,,0,40’HC,39
NSHP0016,2025-05-12,2025-05-14,2025-05-27,IST,LIS,Turkey,Portugal,Neptune Freight,Evergreen,Neptune Star,Barge,48,11595.06,8239.24,28.94,0,No,,0,40’RF,11
NSHP0017,2025-05-25,2025-05-27,2025-06-10,DUR,SAV,South Africa,USA,LogiWorld,Yang Ming,Neptune Star,Mother Vessel,64,18852.91,14069.65,25.37,0,No,,0,40’RF,23
NSHP0018,2025-06-17,2025-06-19,2025-06-25,TOK,SAV,Japan,USA,LogiWorld,ZIM,Ever Hope,Barge,37,11576.14,7969.57,31.16,-1,Yes,SYD,2213.28,40’HC,13
NSHP0019,2025-06-26,2025-06-27,2025-07-03,KIX,LIS,Japan,Portugal,OceanXpress,COSCO,Atlas Pioneer,Barge,86,20264.15,14691.7,27.5,-1,No,,0,40’RF,37
